楼盘名称,开发商名称,是否售空,销售单价,楼盘性质
盈都吾角商业中心,杭州盈坤置业有限公司,在售,145-148万/套,商业类
东方一号,浙江胜达房地产开发有限公司,待售,价格待定,商业
天骄香槟郡,浙江天骄置业有限公司,在售,86-113万/套,住宅
华元蒙卡岸,杭州华元房地产开发有限公司,待售,价格待定,底商
飘鹰富春江花苑,桐庐飘鹰置业有限公司,在售,132-187万/套,住宅
云水山居,杭州金宇房地产开发有限公司,在售,530-1600万/套,别墅
山南印,杭州泰悦置业有限公司,在售,1026万/套,写字楼
招商I-Park,杭州杭盛房地产开发有限公司,在售,198万/套,底商
新城龙湖湾上风华,杭州新城松郡房地产开发有限公司,待售,价格待定,底商
越秀星悦城,杭州越秀房地产开发有限公司,在售,280万/套,住宅
天骄香槟郡,浙江天骄置业有限公司,在售,336-480万/套,别墅
万科公望,杭州富阳万科房地产开发有限公司,在售,1100-1500万/套,别墅
祥生云湖城,杭州祥生弘达房地产开发有限公司,在售,243-280万/套,住宅
山水时代,杭州龙都置业有限公司,在售,280-380万/套,商业类
越秀景瑞悦见山,杭州越荣房地产开发有限公司,待售,价格待定,底商
世茂西溪宸悦,杭州禾睿房地产开发有限公司,待售,300万/套,商业
绿城青亭商铺,杭州望云房地产开发有限公司,待售,价格待定,商业
云都汇中心,杭州名宸置业有限公司,在售,98-120万/套,商业类
傲旋城,杭州恒兴置业有限公司,在售,398-400万/套,住宅
融创森与海之城,杭州融阳政房地产开发有限公司,在售,135-169万/套,住宅
城南银泰城,杭州萧山银城置业有限公司,待售,价格待定,商业
启迪协信科技城,杭州启迪协信建塘科技发展有限公司,在售,120-260万/套,商业类
禹洲滨澜铭座,中维地产浙江有限公司,待售,价格待定,底商
之江潮,杭州骏功置业有限公司,待售,价格待定,商业
新力海石星汇公馆,杭州中慈实业有限公司,待售,价格待定,商业类
云上金铭府,杭州景扬置业有限公司,在售,207-275万/套,住宅
科尔博亚时代中心,杭州俊泰置业有限公司,待售,价格待定,商业
美的西径晓风,杭州美煜房地产发展有限公司,在售,162.692-202.424万/套,住宅
美的西径晓风,杭州美煜房地产发展有限公司,在售,310-365万/套,别墅
之江潮,杭州骏功置业有限公司,在售,158-331万/套,商业类
中骏临栖云府,杭州嘉怡置业有限公司,在售,198万/套,住宅
新湖金色池塘,杭州新湖鸬鸟置业有限公司,在售,194万/套,住宅
国开东方锦城学府,杭州轩湖房地产开发有限公司,在售,182万/套,住宅
越秀天萃名邸,杭州钰杭房地产开发有限公司,待售,价格待定,商业
启迪协信科技城,杭州启迪协信建塘科技发展有限公司,在售,45000元/㎡,底商
柳岸晓风新都,尚雅置业（杭州）有限公司,在售,266-315万/套,别墅
玲珑郡,杭州君元数字科技有限公司,在售,53.697-65.036万/套,商业类
德信空港城,杭州空港置业有限公司,在售,70-98万/套,商业类
未来七彩小镇,嘉凯城城镇化建设发展（余杭闲林）有限公司,在售,100万/套,商业
地铁万科五常车辆段上盖,杭州西曙置业有限公司,在售,260万/套,商业
凤凰府邸,杭州越城房地产开发有限公司,在售,73-101万/套,住宅
澳海云樾赋,杭州澳澜房地产开发有限公司,在售,105-148万/套,住宅
江山云樾府,杭州祥生弘图房地产开发有限公司,在售,230-335万/套,住宅
九天泽一国际,杭州九天泽一房地产有限公司,在售,250万/套,商业
润枫东润紫园,淳安润枫房地产开发有限公司,在售,89-158万/套,住宅
赞成武林里,杭州赞成美树置业有限公司,在售,240-270万/套,商业类
湖印宸山庄,浙江暄竺实业有限公司,在售,850-1000万/套,别墅
碧桂园万科悦望名邸,杭州富耀置业有限公司,在售,196万/套,住宅
美麓美座,杭州北麓房地产开发有限公司,在售,95万/套,商业类
金悦学府,嘉兴环茂置业有限公司,在售,135-258万/套,住宅
三盛汝悦璟园,绍兴荣杭房地产开发有限公司,在售,230-270万/套,住宅
浙江交控湖上云庭,嘉兴交控闻川房地产开发有限公司,在售,135-195万/套,住宅
铂翠云邸,嘉兴紫鸿房地产开发有限公司,在售,200-350万/套,住宅
荣安观江园,绍兴香州置业有限公司,在售,185-330万/套,住宅
武地融创樾湖湾,武汉地产绍兴统建城市开发有限公司,在售,217-380万/套,住宅
华元华昭府,杭州溪上华庭置业有限公司,在售,227-524万/套,住宅
中建潮阅尚境府,杭州临孚房地产开发有限公司,在售,250-330万/套,住宅
滨江临澜之城,杭州滨越房地产开发有限公司,待售,135-186万/套,住宅
越秀归悦里,杭州越嘉房地产开发有限公司,在售,192.24-194.01万/套,住宅
未珂宸铭府,杭州众安杭房房地产开发有限公司,在售,250-300万/套,住宅
赞成星谷,杭州润庆置业有限公司,在售,100-188万/套,商业类
同协金座,杭州同达置业有限公司,在售,128-210万/套,商业类
蓝城久宸里,浙江久光房地产开发有限公司,在售,1785-3600万/套,商业类
世茂西溪宸悦,杭州禾睿房地产开发有限公司,在售,220-385万/套,商业类
天目观山月,临安置润房产开发有限公司,在售,63-90万/套,住宅
中天MCC,杭州中天亚东房地产开发有限公司,待售,40000元/㎡,底商
大华春山明月,浙江大华房地产开发有限公司,在售,540-1020万/套,别墅
文居学府,浙江龙大地产有限公司,待售,价格待定,商业
云水山居,杭州金宇房地产开发有限公司,在售,240-576万/套,住宅
万科玖望,杭州富阳永通房地产开发有限公司,在售,194万/套,住宅
中铁建国际公馆,中铁房地产集团华东有限公司,在售,140-180万/套,商业类
银杏汇,杭州德城置业有限公司,在售,5500万/套,住宅
宋都阳光国际,浙江东霖房地产开发有限公司,在售,1108-1800万/套,住宅
瑞麒时代金座,杭州乐威置业有限公司,待售,价格待定,写字楼
中港西湖院子,杭州中港绿泰房地产开发有限公司,在售,900-1400万/套,别墅
江东阳光名城,杭州春天房地产开发有限公司,在售,170-249万/套,住宅
港郦中心,杭州港郦置业有限公司,在售,120万/套,商业类
富春金茂星外滩·秦望府,杭州秦茂置业有限公司,在售,275-620万/套,住宅
四季都会,杭州富云置业有限公司,待售,价格待定,商业
旭辉珺和府,杭州兴浦置业有限公司,在售,129-175万/套,住宅
滨江旭辉滨旭府,杭州兴塘置业有限公司,在售,227-290万/套,住宅
地铁万科彩虹天空之城,杭州南璟置业有限公司,在售,392万/套,住宅
天樾四季城,杭州运塘房地产开发有限公司,在售,190万/套,住宅
歌山美睿金座,杭州禄禧商业经营管理有限公司,在售,1000万/套,写字楼
佳源驭远玖墅,杭州国申房地产开发有限公司,在售,565-670万/套,别墅
中城汇MIDTOWN,杭州万璟置业有限公司,在售,400万/套,底商
海威天地,杭州融威置业有限公司,在售,350万/套,底商
佳源岛,淳安汇和房地产开发有限公司,在售,80-130万/套,住宅
浅山,淳安怡和置业有限公司,在售,351-358万/套,别墅
杭房首望澜翠府,杭州翠祥房地产有限公司,在售,210-250万/套,住宅
山水华府,杭州富阳乘光置业有限公司,在售,211-255万/套,住宅
山水华府,杭州富阳乘光置业有限公司,待售,价格待定,商业
弘涵望江月,杭州弘涵房地产开发有限公司,在售,82-103万/套,住宅
德信中心,杭州德信产业发展有限公司,待售,价格待定,商业
浅隐云庐,杭州耕织园农业开发有限公司,在售,220-530万/套,别墅
水岸华府,杭州融旺房地产开发有限公司,在售,129-151万/套,住宅
世茂栖棠誉湾,杭州东奥投资管理有限公司,待售,价格待定,住宅
富阳宸光悦,杭州祥生弘腾房地产开发有限公司,在售,250万/套,住宅
景顺铂悦城,杭州望景置业有限公司,在售,98-182万/套,商业类
锦和云水江南,杭州精文文广投资有限公司,在售,280-380万/套,别墅
国芳购物中心,杭州国芳置业有限公司,在售,价格待定,商业
地铁万科杭行道,杭州商庭房地产开发有限公司,待售,价格待定,商业
东亚溪雅香舍,杭州嘉缘房地产开发有限公司,在售,75-139万/套,住宅
国芳购物中心,杭州国芳置业有限公司,在售,180万/套,商业类
千岛湖绿城桂语江南,杭州汤姆房地产开发有限公司,在售,137-185万/套,住宅
融信美好宝龙锦云澜天里,杭州美生美置业有限公司,在售,170万/套,住宅
滨耀城,杭州星滨置业有限公司,待售,价格待定,写字楼
凤凰府邸,杭州越城房地产开发有限公司,在售,481-483万/套,别墅
镜象西湖,杭州世腾置业有限公司,在售,130-370万/套,商业类
赞成星谷,杭州润庆置业有限公司,在售,160万/套,底商
傲旋城,杭州恒兴置业有限公司,在售,316-800万/套,商业类
融创融耀之城,杭州昌茂置业有限公司,待售,213-252万/套,住宅
江滨公望大厦,杭州公望置业有限公司,在售,132万/套,商业类
柳岸晓风新都,尚雅置业（杭州）有限公司,在售,175-220万/套,住宅
阳光城檀映里,杭州碧光房地产开发有限公司,待售,价格待定,商业
世茂国风大境,杭州临安同人置业有限公司,在售,459.34-1067.26万/套,别墅
颐和山庄,杭州青城房地产开发有限公司,在售,159-335万/套,住宅
银城听桂雅院,杭州青城房地产开发有限公司,待售,390-500万/套,别墅
荣上青云府,杭州荣上房地产有限公司,在售,195-300万/套,别墅
中交保利江语云城,中交城投富春湾（杭州）置业开发有限公司,在售,155-188万/套,住宅
澳海百合云泽赋,杭州澳瀚房地产开发有限公司,在售,96-146万/套,住宅
天阳众安·云栖奇岭,杭州天奇置业有限公司,在售,303-550万/套,别墅
竹悦山水轩,临安云海置业有限公司,在售,360万/套,别墅
航城悦府,杭州康金房地产开发有限公司,在售,45-85万/套,住宅
科尔博亚时代中心,杭州俊泰置业有限公司,待售,价格待定,写字楼
严州誉境府,杭州新城英冠房地产开发有限公司,在售,400-426万/套,别墅
望朝中心,浙江诚稻置业有限公司,在售,40000元/㎡,写字楼
钱塘汇银中心,杭州陆金财富管理有限公司,待售,价格待定,写字楼
滨江万潮星汇,杭州博航房地产开发有限公司,待售,价格待定,写字楼
富春望,杭州江悦郡置业有限公司,在售,500-600万/套,住宅
银泰城泰悦府,淳安银泰置地有限公司,在售,190-310万/套,住宅
品庐东岸,杭州京庐实业有限公司,在售,379万/套,别墅
东投悦荣府,杭州铭伦实业有限公司,在售,187万/套,住宅
融信美好宝龙锦云澜天里,杭州美生美置业有限公司,在售,60万/套,底商
悦江府,桐庐信恒房地产开发有限公司,在售,60-115万/套,住宅
玲珑湾,淳安千岛湖益新房地产开发有限公司,在售,65-95万/套,住宅
玲珑湾,淳安千岛湖益新房地产开发有限公司,在售,60-70万/套,商业类
城市蓝湾,杭州宸泰房地产开发有限公司,在售,76-140万/套,住宅
翠悦半岛,杭州赞成金御房地产开发有限公司,在售,540万/套,别墅
辰春澜城,杭州北辰京阳置业有限公司,在售,180-250万/套,住宅
国开东方锦城学府,杭州轩湖房地产开发有限公司,在售,65万/套,底商
众安明彩城,浙江众都置业有限公司,在售,40000元/㎡,底商
申花印月,中锦联城控股有限公司,在售,210万/套,底商
赞成武林里,杭州赞成美树置业有限公司,在售,270万/套,底商
杭州富力中心,杭州富力房地产开发有限公司,在售,价格待定,底商
兴耀樱漫里,杭州星漾置业有限公司,在售,160.2-244.8万/套,住宅
新安明月府,杭州辰居置业有限公司,在售,151-204万/套,住宅
新安明月府,杭州辰居置业有限公司,在售,350-430万/套,别墅
富景都会公寓,杭州富阳富茂置业有限公司,在售,99万/套,商业类
富景都会公寓,杭州富阳富茂置业有限公司,在售,169万/套,底商
龙大江景府,杭州龙大洋安房地产有限公司,在售,234-300万/套,住宅
龙大江景府,杭州龙大洋安房地产有限公司,在售,价格待定,别墅
柏源晶舍,杭州绿临房地产开发有限公司,在售,80-250万/套,住宅
杭黄未来社区,杭州富阳融春中合城市开发建设有限公司,在售,147-221万/套,住宅
绿城桂语新月,杭州绿城浙诗置业有限公司,在售,190-270万/套,住宅
绿城江上臻园,杭州绿城浙渊置业有限公司,在售,360万/套,住宅
绿城江畔锦园,杭州绿城银湖置业有限公司,在售,250-350万/套,住宅
朗诗溪涧雅庐,杭州临安朗茂置业有限公司,在售,264-415.2万/套,别墅
恒福禹都,浙江恒伟房地产开发有限公司,在售,112-186万/套,住宅
恒福禹都,浙江恒伟房地产开发有限公司,在售,441-540万/套,别墅
桃语春福里,杭州博临房地产开发有限公司,在售,130万/套,住宅
汇港城,杭州星日房地产开发有限公司,在售,125-235万/套,商业类
金汇之城,杭州弘汇房地产有限公司,在售,75-93万/套,商业类
中天大家宸澜学府,杭州嘉溪房地产开发有限公司,在售,150-200万/套,住宅
弘元江山潮鸣,建德弘耀置业有限公司,在售,100-190万/套,住宅
祥生中心,杭州祥生弘瑞房地产开发有限公司,在售,180-280万/套,商业类
祥生中心,杭州祥生弘瑞房地产开发有限公司,在售,200万/套,商业
西投德信云湖印,杭州西投德信商业发展有限公司,在售,1200万/套,商业
Mo.C星辉时光城,杭州航民科尔置业有限公司,在售,60-160万/套,商业类
建杭江与河,浙江建杭置业有限公司,在售,2300-2500万/套,商业类
广宇东润大厦,浙江上东房地产开发有限公司,在售,190-380万/套,商业类
翠苑荟,杭州和高置业有限公司,在售,500万/套,底商
龙大悦江府,杭州龙大洋安房地产有限公司,在售,价格待定,别墅
西溪印,杭州星溪置业有限公司,在售,55000元/㎡,写字楼
龙潭渡·云湖湾,浙江分水龙潭渡文创产业发展有限公司,在售,价格待定,别墅
招商德信云望之宸,杭州德信春望置业有限公司,在售,237-290万/套,住宅
星著柏悦府,杭州敏骏房地产开发有限责任公司,在售,203-317万/套,住宅
杭州光谷国际中心,杭州光谷高新集团有限公司,在售,100-137万/套,商业类
中融蓝城Co.C理想城,杭州中融控股集团有限公司,在售,100-150万/套,商业类
桐庐金色港湾度假村,杭州金色港湾旅游开发有限公司,在售,268万/套,住宅
五幸金座,杭州西江置业有限公司,在售,100-130万/套,商业类
云溪别院,杭州桐庐熙林房地产开发有限责任公司,在售,128-130万/套,住宅
鼓山晟林商业中心,浙江淳安华丝实业有限公司,在售,92-202万/套,商业类
中天溪珺庭,杭州嘉弘房地产开发有限公司,在售,100-216万/套,住宅
信达之江壹品,杭州京深置业有限公司,在售,950-1000万/套,别墅
云起中心,杭州云起商用置业有限公司,待售,价格待定,写字楼
禹洲泊朗廷,浙江舜鸿房地产开发有限公司,在售,236.89-460万/套,住宅
西投滨江云栖名筑,杭州西江横桥置业有限公司,在售,700-1000万/套,商业类
西房良语云缦,杭州鑫骋置业有限公司,在售,270-396万/套,住宅
文晖城市之星,嘉里置业（杭州）有限公司,待售,价格待定,商业类
融创云辰富源里,杭州富阳融驰置业有限公司,在售,264-384万/套,住宅
同进韵动城,浙江中证置业有限公司,在售,125-145.6万/套,商业类
苏荷汇,杭州市地铁集团有限责任公司,在售,165-460万/套,商业类
钱江银都新座,浙江科源置业有限公司,待售,价格待定,写字楼
美的滨湖翠邸,杭州美钰房地产发展有限公司,在售,180-285万/套,住宅
联发檀境里,杭州联毓房地产开发有限公司,在售,172-245万/套,住宅
镜象西湖,杭州世腾置业有限公司,在售,260万/套,底商
华海园三期,浙江泛华房地产开发有限责任公司,在售,180-220万/套,商业类
杭辰星万里,杭州星雨置业有限公司,在售,120万/套,商业
华发峰荟荟天府,杭州铧安置业有限公司,在售,203-271万/套,住宅
广宇锦云里,杭州西宇房地产开发有限公司,在售,200-240万/套,住宅
德金中心,杭州骏兴置业有限公司,在售,800万/套,写字楼
杭州城南万达金街,杭州富阳万达置业有限公司,待售,价格待定,商业
海威领界,杭州弘威置业有限公司,在售,500万/套,商业
荣盛江荣府,杭州荣耀盛灏置业有限公司,在售,453-490万/套,住宅
圆尊府,杭州圆宁科技有限公司,在售,180-265万/套,住宅
翠苑荟,杭州和高置业有限公司,在售,200-500万/套,商业类
世茂国风源赋,杭州茂荣房地产开发有限公司,在售,170-220万/套,住宅
东湖云杉郡,杭州富云置业有限公司,在售,85-90万/套,商业类
中豪湘和国际,杭州中豪水湘置业有限公司,待售,价格待定,底商
阿尔法城,嘉凯城城镇化建设发展（淳安）有限公司,在售,54-88万/套,商业类
保集东麟府,杭州悦湖置业有限公司,在售,90-180万/套,住宅
光合映,杭州祥生宜信房地产开发有限公司,在售,170万/套,底商
滨江半岛印象一期,杭州千岛湖滨翠海岸房地产开发有限公司,在售,115-165万/套,住宅
德信博宸君府,浙江连投房地产开发有限公司,在售,245万/套,住宅
德信中南江山云起院,德信地产集团有限公司,在售,133-168万/套,住宅
德信中南江山云起院,德信地产集团有限公司,在售,310-330万/套,别墅
龙大悦江府,杭州龙大洋安房地产有限公司,在售,180-240万/套,住宅
世茂国风源赋,杭州茂荣房地产开发有限公司,在售,550万/套,别墅
枫柏兰庭,杭州潜府远创房地产开发有限公司,在售,108-155万/套,住宅
伟业熙境府,杭州隽伟置业有限公司,在售,200万/套,底商
悦湖湾花园,杭州千岛湖浙远房地产开发有限公司,在售,290-350万/套,别墅
山澜桂语轩,杭州绿城浙兴置业有限公司,在售,360-380万/套,住宅
圆尊府,杭州圆宁科技有限公司,在售,价格待定,别墅
滨江半岛印象二期,杭州千岛湖滨翠海岸房地产开发有限公司,在售,106-135万/套,住宅
美的滨湖翠邸,杭州美钰房地产发展有限公司,待售,价格待定,底商
三盛大家汝悦美境府,杭州萧麟置业有限公司,在售,200万/套,底商
半山林畔商务中心,杭州半山半岛置业有限公司,在售,2000万/套,商业
绿城千岛湖湖畔澄庐,杭州绿城浙韵置业有限公司,在售,130-210万/套,住宅
绿城千岛湖湖畔澄庐,杭州绿城浙韵置业有限公司,在售,328-347万/套,别墅
嘉裕天城,杭州远邦房地产开发有限公司,在售,50万/套,商业类
樾臻府,杭州锦虹房地产开发有限公司,在售,116-150万/套,住宅
锦上悦华里,华凌置地（杭州）有限公司,在售,207万/套,住宅
瑶琳华庭,杭州凯全实业有限公司,在售,58-90万/套,住宅
宇洋观山樾,桐庐桐辉置业有限公司,在售,75-125万/套,住宅
珺楠府,临安中天房地产开发有限公司,在售,240万/套,住宅
融悦天辰府,杭州融旺房地产开发有限公司,在售,105-159万/套,住宅
嘉品美寓,杭州申睿物流科技有限公司,在售,202-300万/套,住宅
德信赋富春云庄,杭州德信桐林置业有限公司,在售,180-300万/套,住宅
德信赋富春云庄,杭州德信桐林置业有限公司,在售,513-551万/套,别墅
望湖尚城,杭州聚泓置业有限公司,在售,420万/套,商业
文宸望府,杭州德信所前置业有限公司,在售,208-260万/套,住宅
三迪雅颂美筑,杭州迪航置业发展有限公司,在售,130-162万/套,住宅
浮玉府,杭州铭洲房地产开发有限公司,在售,90万/套,住宅
之彩城,杭州萧山七彩信未来社区开发有限公司,在售,139-209万/套,住宅
万泰华章,杭州万馨房地产开发有限公司,在售,200.6万/套,住宅
宝业凤樾上筑,杭州宝业房地产开发有限公司,在售,180-260万/套,住宅
广宇塘颂,浙江广宇新城房地产开发有限公司,待售,价格待定,别墅
启航城,杭州大欢置业有限公司,在售,136-280万/套,住宅
杭臻源筑,杭州融塘房地产开发有限公司,在售,400-530万/套,住宅
华家印月,九逸房地产营销策划（杭州）有限公司,在售,1800-2500万/套,写字楼
华景川湖沁宸园,杭州景科房地产开发有限公司,在售,160-230万/套,住宅
中天翡玥府,杭州瑞盛房地产开发有限公司,在售,171-176万/套,住宅
新希望锦翠栖源,杭州锦棠置业有限公司,在售,1600万/套,住宅
宁望府,杭州滨锦房地产开发有限公司,在售,361.8-475.7万/套,住宅
绿城春语燕来居,正腾置业（杭州）有限公司,待售,价格待定,住宅
瀚悦宸邸,杭州鸿扬投资管理有限公司,待售,价格待定,住宅
沁悦宸轩,杭州济都房地产开发有限公司,在售,146-178万/套,住宅
迪凯金座,杭州铭道房地产营销策划有限公司,在售,422-5000万/套,写字楼
春题杭玥府,杭州瑞进合能房地产开发有限公司,在售,270万/套,底商
桐韵家园,杭州韵致科技有限公司,在售,120-222万/套,住宅
如沐清晖城,杭州临安西子房地产开发有限公司,在售,443-645万/套,别墅
中骏鼎湖未来云城,杭州骏熠置业有限公司,在售,307-396.15万/套,住宅
华城茶语华邸,杭州华城房地产开发有限公司,在售,270万/套,住宅
兴耀岚漫之城,杭州星淑置业有限公司,在售,260万/套,住宅
星创雅望居,杭州融琴置业有限公司,在售,266-356万/套,住宅
洺川名著,杭州弘熠房地产开发有限公司,在售,450-630万/套,住宅
银泰仙女湖小镇,杭州云石仙女湖置业有限公司,在售,850-1200万/套,别墅
临之锦,杭州轩源实业有限公司,在售,250-380万/套,住宅
